year,month,TMAX,TMIN,TAVG,PRCP
2024,1,4.4,3.5048387096774194,3.95241935483871,1.565
2024,2,4.927586206896552,3.7913793103448277,4.35948275862069,0.644
2024,3,5.296774193548386,3.8306451612903225,4.563709677419355,0.5700000000000001
2024,4,5.8517241379310345,4.093103448275862,4.972413793103448,0.426
2024,5,6.393548387096774,4.274193548387097,5.333870967741936,0.484
2024,7,8.506666666666666,5.426666666666667,6.966666666666667,0.038
2024,8,7.919354838709677,5.338709677419355,6.629032258064516,0.09
2024,9,7.6066666666666665,4.930000000000001,6.2683333333333335,0.056
2024,10,6.393548387096774,3.9709677419354836,5.182258064516129,0.474
2024,11,5.152,3.864,4.508,0.9319999999999999
2024,12,4.851612903225806,3.464516129032258,4.158064516129032,0.774
2025,1,4.616129032258065,2.8419354838709676,3.729032258064516,0.392
